,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
859,5404025,"['마요네즈', '참깨', '화이트와인', '꿀', '소금', '연근', '검은깨']","['조미료류', '당류', '주류', '곡류 및 그 제품', '채소류', '견과류 및 종실류']","['마요네즈', '포도주', '참깨', '꿀', '소금', '연근']"
860,6862802,"['상추', '슬라이스햄', '수제요거트', '올리브유', '양상추', '홍초', '소금']","['조미료류', '유지류', '우유 및 유제품류', '채소류', '육류']","['상추', '올리브유', '양상추', '소금', '요구르트', '식초', '햄']"
861,6898898,['햄'],['육류'],['햄']
862,6888624,"['송화가루', '꿀']","['당류', '기타']","['송화', '꿀']"
863,1319939,"['튀김기름', '튀김가루', '쥐포']","['어패류 및 기타 수산물', '유지류', '곡류 및 그 제품']","['콩기름', '밀', '쥐치']"
864,6889418,"['달걀', '빵가루', '튀김가루', '피클조금', '허브솔트', '치킨무조금', '돼지고기']","['조미료류', '난류', '곡류 및 그 제품', '채소류', '육류']","['달걀', '밀', '소금', '돼지고기', '오이', '무']"
865,2442891,"['닭다리살', '달걀', '빵가루', '튀김가루', '파슬리가루약간', '후춧가루약간', '소금']","['난류', '조미료류', '육류', '곡류 및 그 제품']","['달걀', '밀', '파슬리', '소금', '닭고기', '후추']"
866,774760,"['마요네즈', '달걀', '토마토중', '파프리카', '햄버거번', '로메인', '올리브유', '양상추', '햄버거패티', '슬라이스피클', '슬라이스치즈', '케찹', '머스타드소스']","['조미료류', '난류', '조리가공품류', '유지류', '곡류 및 그 제품', '우유 및 유제품류', '채소류']","['마요네즈', '달걀', '파프리카', '상추', '올리브유', '양상추', '겨자', '빵', '햄버거', '토마토', '오이', '토마토 소스', '치즈']"
867,2728514,"['고추', '달걀', '카레가루', '맛살', '피망', '식용유적당량', '소금', '당근', '부침가루', '후추가루조금']","['조미료류', '난류', '감자 및 전분류', '유지류', '어패류 및 기타 수산물', '채소류']","['고추', '혼합식물성유', '달걀', '게맛살', '피망', '후추', '밀', '소금', '당근', '카레']"
868,4126933,"['맛살', '양배추']","['어패류 및 기타 수산물', '채소류']","['게맛살', '양배추']"
869,2023234,"['빵가루약간', '당근약간', '후추적당량', '밀가루약간', '소금', '돼지고기', '계란약간', '양배추']","['조미료류', '난류', '곡류 및 그 제품', '채소류', '육류']","['돼지고기', '달걀', '밀', '소금', '당근', '후추', '양배추']"
870,6829166,"['모짜렐라', '파슬리가루', '토마토소스', '페퍼로니햄', '치즈']","['조미료류', '우유 및 유제품류', '육류']","['햄', '토마토 소스', '치즈', '파슬리']"
871,4575463,"['달걀', '빵가루', '후춧가루조금', '쌀', '파슬리가루', '소금', '돼지고기', '롤치즈']","['조미료류', '난류', '곡류 및 그 제품', '우유 및 유제품류', '육류']","['달걀', '치즈', '밀', '파슬리', '소금', '돼지고기', '후추', '멥쌀']"
