,best_combination
900,"['스파게티 소스', '설탕']"
901,"['스파게티 소스', '마늘']"
902,"['스파게티 소스', '파']"
903,"['스파게티 소스', '청주']"
904,"['스파게티 소스', '양파']"
905,"['스파게티 소스', '피망']"
906,"['스파게티 소스', '치즈']"
907,"['바비큐 소스', '소고기']"
908,"['바비큐 소스', '양파']"
909,"['바비큐 소스', '굴 소스']"
910,"['호박씨', '포도주']"
911,"['호박씨', '크림']"
912,"['메추리알', '간장']"
913,"['메추리알', '설탕']"
914,"['메추리알', '마늘']"
915,"['메추리알', '파']"
916,"['메추리알', '생강']"
917,"['메추리알', '물엿']"
918,"['유채씨기름', '물엿']"
919,"['아마씨', '간장']"
920,"['아마씨', '고추']"
921,"['아마씨', '설탕']"
922,"['아마씨', '마늘']"
923,"['아마씨', '참기름']"
924,"['아마씨', '멸치']"
925,"['아마씨', '물엿']"
926,"['아마씨', '대추']"
927,"['아마씨', '유채씨기름']"
928,"['데리야끼 소스', '마늘']"
929,"['데리야끼 소스', '참기름']"
930,"['데리야끼 소스', '물엿']"
931,"['다슬기', '마늘']"
932,"['다슬기', '파']"
933,"['다슬기', '달걀']"
934,"['다슬기', '밀']"
935,"['다슬기', '멸치']"
936,"['다슬기', '청주']"
937,"['다슬기', '다시마']"
938,"['다슬기', '고춧가루']"
939,"['다슬기', '된장']"
940,"['다슬기', '양파']"
941,"['다슬기', '무시래기']"
942,"['다슬기', '부추']"
943,"['다슬기', '아욱']"
944,"['아욱', '된장']"
945,"['가자미', '마늘']"
946,"['뱅어', '참기름']"
947,"['뱅어', '청주']"
948,"['백합', '소고기']"
949,"['백합', '참기름']"
950,"['백합', '무']"
951,"['백합', '두부']"
952,"['백합', '조개']"
953,"['백합', '새우']"
954,"['백합', '홍합']"
955,"['메밀', '소금']"
956,"['메밀', '간장']"
957,"['메밀', '파']"
958,"['메밀', '참기름']"
959,"['메밀', '김치']"
960,"['송이버섯', '멥쌀']"
961,"['송이버섯', '은행']"
962,"['송이버섯', '대추']"
963,"['송이버섯', '밤']"
964,"['송이버섯', '잣']"
965,"['막걸리', '멥쌀']"
966,"['막걸리', '대추']"
967,"['막걸리', '잣']"
968,"['셀러리', '달걀']"
969,"['셀러리', '후추']"
970,"['셀러리', '양파']"
971,"['셀러리', '멥쌀밥']"
972,"['셀러리', '카레']"
973,"['셀러리', '토마토']"
974,"['셀러리', '햄']"
975,"['로즈마리', '간장']"
976,"['로즈마리', '설탕']"
977,"['로즈마리', '마늘']"
978,"['로즈마리', '파']"
979,"['로즈마리', '후추']"
980,"['로즈마리', '청주']"
981,"['로즈마리', '된장']"
982,"['로즈마리', '양파']"
983,"['로즈마리', '돼지고기']"
984,"['로즈마리', '월계수']"
985,"['로즈마리', '계피']"
986,"['로즈마리', '정향']"
987,"['로즈마리', '타임']"
988,"['로즈마리', '커피']"
989,"['삼백초', '마늘']"
990,"['삼백초', '파']"
991,"['삼백초', '다시마']"
992,"['삼백초', '닭고기']"
993,"['삼백초', '양파']"
994,"['삼백초', '인삼']"
995,"['삼백초', '대추']"
996,"['라면 스프', '마늘']"
997,"['라면 스프', '파']"
998,"['라면 스프', '호박']"
999,"['라면 스프', '닭고기']"
1000,"['라면 스프', '우유']"
1001,"['라면 스프', '치즈']"
1002,"['라면 스프', '라면']"
1003,"['곶감', '설탕']"
1004,"['곶감', '생강']"
1005,"['곶감', '계피']"
1006,"['곶감', '잣']"
1007,"['곶감', '호두']"
1008,"['햄버거', '달걀']"
1009,"['햄버거', '상추']"
1010,"['햄버거', '파프리카']"
1011,"['햄버거', '토마토']"
1012,"['햄버거', '빵']"
1013,"['햄버거', '치즈']"
1014,"['햄버거', '양상추']"
1015,"['파스타', '고추']"
1016,"['파스타', '마늘']"
1017,"['파스타', '오징어']"
1018,"['파스타', '양파']"
1019,"['파스타', '명태']"
1020,"['파스타', '올리브유']"
1021,"['파스타', '베이컨']"
1022,"['피칸', '우유']"
1023,"['피칸', '포도주']"
1024,"['피칸', '크림']"
1025,"['피칸', '호두']"
1026,"['피칸', '호박씨']"
1027,"['딸기', '오이']"
1028,"['딸기', '마요네즈']"
1029,"['딸기', '사과']"
1030,"['딸기', '자몽(그레이프프루트)']"
1031,"['자몽(그레이프프루트)', '오이']"
1032,"['자몽(그레이프프루트)', '마요네즈']"
1033,"['자몽(그레이프프루트)', '사과']"
1034,"['자몽(그레이프프루트)', '딸기']"
1035,"['사골국', '마늘']"
1036,"['사골국', '파']"
1037,"['사골국', '고춧가루']"
1038,"['사골국', '생강']"
1039,"['사골국', '들깨']"
1040,"['사골국', '순대']"
1041,"['발사믹식초', '달걀']"
1042,"['발사믹식초', '두부']"
1043,"['발사믹식초', '가다랑어']"
1044,"['송화', '꿀']"
1045,"['비지', '고추']"
1046,"['비지', '김치']"
1047,"['비지', '돼지고기']"
1048,"['포도즙', '밀']"
1049,"['포도즙', '멸치']"
1050,"['포도즙', '올리브유']"
1051,"['강낭콩', '멥쌀']"
1052,"['강낭콩', '소주']"
1053,"['오리고기', '마늘']"
1054,"['오리고기', '된장']"
