,RECIPE_ID,IRDNT_NM,GROUP,SUBGROUP
506,685531,"['옥수수캔', '통조림완두콩', '설탕', '식빵', '햄', '슬라이스치즈', '피자치즈', '토마토소스', '파프리카', '토마토케첩', '피망', '양파']","['당류', '곡류 및 그 제품', '조미료류', '육류', '우유 및 유제품류', '두류', '채소류']","['완두', '옥수수', '빵', '설탕', '치즈', '토마토 소스', '햄', '파프리카', '피망', '양파']"
507,726413,"['국물용멸치', '간장', '설탕', '파', '맛술', '다시마', '표고버섯']","['당류', '어패류 및 기타 수산물', '조미료류', '버섯류', '해조류', '채소류']","['간장', '설탕', '멸치', '파', '맛술', '다시마', '표고버섯']"
508,773263,"['칵테일새우살', '익힌완두콩', '스위트콘옥수수알', '설탕', '식용유', '돼지고기', '춘장듬뿍', '양파', '당근']","['당류', '어패류 및 기타 수산물', '곡류 및 그 제품', '조미료류', '육류', '두류', '채소류', '유지류']","['옥수수', '설탕', '춘장', '콩(대두)', '돼지고기', '혼합식물성유', '새우', '양파', '당근']"
509,782262,"['물엿', '간장', '청주', '설탕', '고춧가루', '마늘', '생강', '고추', '감자', '네모난당면', '생강즙', '멸치다시마물', '참기름', '파', '닭중간크기', '건표고버섯', '양파', '당근']","['당류', '어패류 및 기타 수산물', '조미료류', '버섯류', '육류', '감자 및 전분류', '주류', '채소류', '유지류']","['물엿', '닭고기', '간장', '청주', '설탕', '고춧가루', '마늘', '생강', '고추', '감자', '멸치', '참기름', '파', '당면', '표고버섯', '양파', '당근']"
510,784888,"['식초', '간장', '고추', '설탕', '양파']","['당류', '조미료류', '채소류']","['식초', '간장', '고추', '설탕', '양파']"
511,793932,"['감자중', '사과중', '물엿', '간장', '청주', '고춧가루', '설탕', '마늘', '생강', '월계수잎', '인스턴트커피', '파', '멸치다시마육수', '통후추', '당면', '돼지갈비', '양파', '당근']","['당류', '어패류 및 기타 수산물', '조미료류', '차류', '과실류', '육류', '감자 및 전분류', '주류', '채소류']","['물엿', '커피', '간장', '청주', '고춧가루', '설탕', '마늘', '생강', '월계수', '돼지고기', '감자', '멸치', '파', '당면', '후추', '양파', '당근', '사과']"
512,830298,"['물엿', '박력분', '설탕', '베이킹파우더', '달걀']","['당류', '곡류 및 그 제품', '난류', '기타']","['물엿', '밀', '설탕', '팽창제', '달걀']"
513,840432,"['물엿', '간장', '고추', '설탕', '통마늘', '멸치', '맛술']","['당류', '어패류 및 기타 수산물', '조미료류', '채소류']","['물엿', '간장', '고추', '설탕', '마늘', '멸치', '맛술']"
514,844137,"['설탕', '물엿', '고구마', '식용유']","['당류', '감자 및 전분류', '유지류']","['설탕', '물엿', '고구마', '혼합식물성유']"
515,847598,"['물엿', '올리브오일', '간장', '청주', '설탕', '마늘', '통깨', '잔멸치']","['당류', '어패류 및 기타 수산물', '조미료류', '주류', '견과류 및 종실류', '유지류']","['물엿', '간장', '청주', '설탕', '마늘', '멸치', '참깨', '올리브유']"
516,907095,"['소금', '간장', '무나박썬것', '고춧가루', '설탕', '마늘', '생강', '굴', '참기름']","['당류', '어패류 및 기타 수산물', '조미료류', '채소류', '유지류']","['소금', '간장', '고춧가루', '설탕', '마늘', '생강', '굴', '참기름', '무']"
517,916444,"['전분', '노른자', '박력분', '설탕', '계피가루', '찬버터', '버터', '전란', '사과']","['당류', '곡류 및 그 제품', '조미료류', '과실류', '우유 및 유제품류', '감자 및 전분류', '난류', '유지류']","['전분', '밀', '계피', '설탕', '버터', '달걀', '사과']"
518,929265,"['간장', '설탕', '고춧가루', '마늘', '통깨', '파', '참기름', '오이지']","['당류', '조미료류', '채소류', '견과류 및 종실류', '유지류']","['간장', '설탕', '고춧가루', '마늘', '파', '참기름', '참깨', '오이지']"
519,940491,"['물엿', '간장', '청주', '고춧가루', '설탕', '마늘', '파', '참기름', '무', '맛술', '멸치중크기']","['당류', '어패류 및 기타 수산물', '조미료류', '주류', '채소류', '유지류']","['물엿', '간장', '청주', '고춧가루', '설탕', '마늘', '멸치', '파', '참기름', '무', '맛술']"
